Droplet diameter [m],Impact velocity [m/s],Density [kg/m3],Surface Tension [N/m],Dynamic Viscosity [Pa s],Distance between adjacent laser beam passes [µm],Average depth of micro-channels [µm],Reynolds number,Weber number
0.002502674,1.590978058,1044.68,0.070939,0.001548471,400,6,2686.263735,93.28909401
0.002263009,0.527097682,1231.2015,0.06586251,0.159808968,200,25,9.189784155,11.75328553
0.002313908,0.952575345,1199.2114,0.06689444,0.036419641,100,6,72.57809255,37.64007912
0.002355582,1.191750868,1045.22655,0.071118393,0.001603365,50,25,1830.044779,49.16971066
0.002475679,0.945295753,1045.3818,0.07116923,0.001619878,600,6,1510.270769,32.49469306
0.002338666,0.931829422,1230.554,0.06575516,0.151242279,800,6,17.73095473,38.0024779
0.002495462,1.183476967,1045.0688,0.07106668,0.001587021,800,6,1944.791778,51.39838716
0.002467534,1.420013481,1045.5648,0.07122908,0.001639917,50,6,2234.007859,73.03680419
0.002310677,0.548165395,1152.266,0.067623358,0.009107103,100,25,160.2593746,11.83092127
0.002509443,1.213393158,997.2375,0.07246,0.000943923,100,6,3216.924579,50.84879371
0.002321445,0.536465068,1152.158,0.067599618,0.009047234,600,25,158.5974326,11.38699634
0.002300408,1.205377782,1230.302,0.06571236,0.147945596,400,25,23.05885741,62.57717341
0.002297038,0.974944414,1199.2114,0.06689444,0.036419641,400,25,73.7408515,39.14115564
0.002459402,1.203001042,1045.0688,0.07106668,0.001587021,800,25,1948.30887,52.34080322
0.002555789,1.18447426,997.2375,0.07246,0.000943923,800,6,3198.251711,49.34878929
0.002446301,0.957871165,1045.5042,0.07120927,0.00163321,50,6,1500.032799,32.95439457
0.002302574,0.946742988,1230.554,0.06575516,0.151242279,800,25,17.73671707,38.62324072
0.002292347,1.189753169,1230.302,0.06571236,0.147945596,600,25,22.68020326,60.7517495
0.002265864,0.532075982,1231.2015,0.06586251,0.159808968,200,6,9.288283819,11.99145831
0.002355961,0.948376727,1151.51,0.067458438,0.008696196,100,6,295.8607317,36.17106232
0.002495625,1.595677008,1044.68,0.070939,0.001548471,400,6,2686.609386,93.57666246
0.00231486,1.418487978,1198.74835,0.06683571,0.035343155,800,25,111.3712609,83.54020648
0.002381373,1.59678888,1152.32,0.06763525,0.009137186,800,25,479.5518281,103.4480702
0.002304605,0.542333609,1199.3464,0.06691104,0.036733188,800,25,40.80835871,12.15000584
0.002353798,1.222360381,1153.184,0.06782757,0.00963225,800,25,344.4603518,59.79433142
0.002342706,0.544369406,1152.158,0.067599618,0.009047234,800,6,162.4081394,11.83240649
0.002577702,1.591125175,997.2375,0.07246,0.000943923,600,6,4333.104359,89.81352252
