Sample,Droplet diameter [m],Impact velocity [m/s],Density [kg/m3],Surface Tension [N/m],Dynamic Viscosity [Pa s],Distance between adjacent laser beam passes [µm],Average depth of micro-channels [µm],Reynolds number,Weber number,Contact time [s],Rebound efficiency,Spreading coefficient,Lamella velocity [m/s]
S600,0.002478171,0.940197074,1045.3818,0.07116923,0.001619878,600,6,1503.636642,32.17745645,0.0126,0.201308659,2.002293432,1.271518987
S600,0.002475679,0.945295753,1045.3818,0.07116923,0.001619878,600,6,1510.270769,32.49469306,0.0134,0.19621427,2.009319501,1.023417722
S600,0.002478092,0.941381052,1045.3818,0.07116923,0.001619878,600,6,1505.482119,32.25751958,0.013,0.199329253,2.017374996,1.085443038
S600,0.002479238,0.940165268,1045.3818,0.07116923,0.001619878,600,6,1504.233237,32.18913448,0.0132,0.195176864,2.016442329,1.116455696
S600,0.002475956,0.935186792,1045.3818,0.07116923,0.001619878,600,6,1494.287151,31.80697314,0.0122,0.208897813,2.004084507,1.05443038
S800,0.002478329,0.946162298,1045.32,0.071149,0.001613252,800,6,1519.398157,32.5964796,0.0158,0.146220424,2.007171096,1.116455696
S800,0.002477103,0.942339196,1045.32,0.071149,0.001613252,800,6,1512.5104,32.31759921,0.0414,0.014473399,2.008164277,1.147468354
S800,0.002473343,0.944516895,1045.32,0.071149,0.001613252,800,6,1513.704591,32.41785867,0.0188,0.090749075,2.006201599,1.178481013
S800,0.002479949,0.945898292,1045.32,0.071149,0.001613252,800,6,1519.967209,32.59958903,0.0146,0.17813539,2.010861938,1.05443038
S800,0.002479594,0.944185909,1045.32,0.071149,0.001613252,800,6,1516.998049,32.47700726,0.0142,0.17304359,2.001144559,1.05443038
D50,0.002355582,1.191750868,1045.22655,0.071118393,0.001603365,50,25,1830.044779,49.16971066,0.0116,0.145411421,2.484568666,1.743329098
D50,0.002358472,1.196626106,1045.22655,0.071118393,0.001603365,50,25,1839.785421,49.63363762,0.0114,0.143801159,2.497363881,1.618805591
D50,0.002357467,1.193631065,1045.22655,0.071118393,0.001603365,50,25,1834.3988,49.36445309,0.0116,0.147026831,2.49842825,1.712198221
D50,0.002362403,1.204513555,1045.22655,0.071118393,0.001603365,50,25,1854.998991,50.37392935,0.0116,0.144515195,2.461581844,1.618805591
D50,0.002397493,1.282686218,1045.22655,0.071118393,0.001603365,50,25,2004.729643,57.97312346,0.0116,0.133474305,2.435941445,1.712198221
D100,0.002407231,1.267701115,1045.22655,0.071118393,0.001603365,100,25,1989.357192,56.85649712,0.0122,0.11744956,2.40022232,1.43202033
D100,0.002424679,1.272691981,1045.22655,0.071118393,0.001603365,100,25,2011.66433,57.72039338,0.012,0.142249275,2.377815583,1.743329098
D100,0.002422927,1.271105331,1045.22655,0.071118393,0.001603365,100,25,2007.705257,57.53497852,0.012,0.143718606,2.394952399,1.649936468
D100,0.002418319,1.262861271,1045.22655,0.071118393,0.001603365,100,25,1990.89006,56.68307235,0.0122,0.149111206,2.394366926,1.463151207
D100,0.002422601,1.271153339,1045.16375,0.071097813,0.001596807,100,25,2015.634352,57.54477933,0.0122,0.144484219,2.379854414,1.681067344
